站次,站名_链接,站名,到达时间,开车时间,停留,天数,运行时间,里程,二等_一等座,硬卧上_中_下,软卧上_下
5,http://shike.gaotie.cn/zhan.asp?zhan=%D6%E9%C1%D5,珠琳站,11:36,11:39,3分钟,1,1小时31分,250,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,12:46,12:50,4分钟,1,2小时41分,486,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%B6%AB%B1%B1,田东北站,13:10,13:12,2分钟,1,3小时5分,541,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,13:32,13:36,4分钟,1,3小时27分,601,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,14:14,14:18,4分钟,1,4小时9分,709,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,14:29,14:32,3分钟,1,4小时24分,720,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,15:13,15:15,2分钟,1,5小时8分,860,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%C4%CF%C4%CF,平南南站,15:44,15:46,2分钟,1,5小时39分,953,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%CC%D9%CF%D8,藤县站,16:05,16:07,2分钟,1,6小时0分,1012,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,16:19,16:22,3分钟,1,6小时14分,1037,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%D4%C6%B8%A1%B6%AB,云浮东站,16:55,16:57,2分钟,1,6小时50分,1145,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%D5%D8%C7%EC%B6%AB,肇庆东站,17:17,17:19,2分钟,1,7小时12分,1207,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%C8%FD%CB%AE%C4%CF,三水南站,17:32,17:34,2分钟,1,7小时27分,1232,/,//,"
/
"
18,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,17:46,17:52,6分钟,1,7小时41分,1250,/,//,"
/
"
19,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,18:12,终点站,0分钟,1,8小时7分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,始发站,10:40,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%C1%D6%CE%F7,石林西站,10:58,11:00,2分钟,1,18分,49,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,12:24,12:26,2分钟,1,1小时44分,366,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,13:04,13:08,4分钟,1,2小时24分,486,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%D1%F4,田阳站,13:22,13:26,4分钟,1,2小时42分,517,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,13:52,13:56,4分钟,1,3小时12分,601,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,14:34,14:38,4分钟,1,3小时54分,709,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,14:49,14:52,3分钟,1,4小时9分,720,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%B1%F6%D1%F4,宾阳站,15:17,15:19,2分钟,1,4小时37分,803,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,15:39,15:41,2分钟,1,4小时59分,860,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F0%C6%BD,桂平站,16:01,16:03,2分钟,1,5小时21分,918,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CC%D9%CF%D8,藤县站,16:31,16:33,2分钟,1,5小时51分,1012,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,16:45,16:51,6分钟,1,6小时5分,1037,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%D3%F4%C4%CF,郁南站,17:03,17:05,2分钟,1,6小时23分,1068,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,18:02,18:08,6分钟,1,7小时22分,1250,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,18:28,终点站,0分钟,1,7小时48分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,始发站,09:47,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%D4%C6%B8%A1%B6%AB,云浮东站,10:40,10:41,1分钟,1,53分,138,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,11:15,11:19,4分钟,1,1小时28分,246,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F0%C6%BD,桂平站,11:55,11:58,3分钟,1,2小时8分,365,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,12:56,12:59,3分钟,1,3小时9分,563,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,13:10,13:14,4分钟,1,3小时23分,574,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,13:51,13:55,4分钟,1,4小时4分,682,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%D1%F4,田阳站,14:21,14:23,2分钟,1,4小时34分,766,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,14:39,14:43,4分钟,1,4小时52分,797,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,15:20,15:22,2分钟,1,5小时33分,917,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,15:46,15:49,3分钟,1,5小时59分,988,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%D6%E9%C1%D5,珠琳站,16:05,16:07,2分钟,1,6小时18分,1033,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C6%D5%D5%DF%BA%DA,普者黑站,16:24,16:27,3分钟,1,6小时37分,1080,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%C1%D6%CE%F7,石林西站,17:12,17:15,3分钟,1,7小时25分,1234,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,17:34,终点站,0分钟,1,7小时47分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,始发站,09:47,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%D4%C6%B8%A1%B6%AB,云浮东站,10:40,10:41,1分钟,1,53分,138,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,11:15,11:19,4分钟,1,1小时28分,246,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F0%C6%BD,桂平站,11:55,11:58,3分钟,1,2小时8分,365,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,12:56,12:59,3分钟,1,3小时9分,563,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,13:10,13:14,4分钟,1,3小时23分,574,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,13:51,13:55,4分钟,1,4小时4分,682,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%D1%F4,田阳站,14:21,14:23,2分钟,1,4小时34分,766,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,14:39,14:43,4分钟,1,4小时52分,797,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,15:20,15:22,2分钟,1,5小时33分,917,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,15:46,15:49,3分钟,1,5小时59分,988,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%D6%E9%C1%D5,珠琳站,16:05,16:07,2分钟,1,6小时18分,1033,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C6%D5%D5%DF%BA%DA,普者黑站,16:24,16:27,3分钟,1,6小时37分,1080,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%C1%D6%CE%F7,石林西站,17:12,17:15,3分钟,1,7小时25分,1234,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,17:34,终点站,0分钟,1,7小时47分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,始发站,10:40,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%C1%D6%CE%F7,石林西站,10:58,11:00,2分钟,1,18分,49,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,12:24,12:26,2分钟,1,1小时44分,366,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,13:04,13:08,4分钟,1,2小时24分,486,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%D1%F4,田阳站,13:22,13:26,4分钟,1,2小时42分,517,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,13:52,13:56,4分钟,1,3小时12分,601,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,14:34,14:38,4分钟,1,3小时54分,709,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,14:49,14:52,3分钟,1,4小时9分,720,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%B1%F6%D1%F4,宾阳站,15:17,15:19,2分钟,1,4小时37分,803,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,15:39,15:41,2分钟,1,4小时59分,860,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F0%C6%BD,桂平站,16:01,16:03,2分钟,1,5小时21分,918,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CC%D9%CF%D8,藤县站,16:31,16:33,2分钟,1,5小时51分,1012,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,16:45,16:51,6分钟,1,6小时5分,1037,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%D3%F4%C4%CF,郁南站,17:03,17:05,2分钟,1,6小时23分,1068,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,18:02,18:08,6分钟,1,7小时22分,1250,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,18:28,终点站,0分钟,1,7小时48分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,始发站,11:00,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C3%D6%C0%D5,弥勒站,11:28,11:30,2分钟,1,28分,92,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,12:27,12:29,2分钟,1,1小时27分,295,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,13:24,13:29,5分钟,1,2小时24分,486,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C2%A1%B0%B2%B6%AB,隆安东站,14:11,14:13,2分钟,1,3小时11分,626,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,14:45,14:49,4分钟,1,3小时45分,709,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,15:00,15:03,3分钟,1,4小时0分,720,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%F6%D1%F4,宾阳站,15:28,15:30,2分钟,1,4小时28分,803,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,15:50,15:52,2分钟,1,4小时50分,860,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%C4%CF%C4%CF,平南南站,16:21,16:28,7分钟,1,5小时21分,953,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%CC%D9%CF%D8,藤县站,16:47,16:54,7分钟,1,5小时47分,1012,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,17:06,17:10,4分钟,1,6小时6分,1037,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%D5%D8%C7%EC%B6%AB,肇庆东站,17:59,18:01,2分钟,1,6小时59分,1207,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,18:22,18:26,4分钟,1,7小时22分,1250,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,18:46,终点站,0分钟,1,7小时46分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,始发站,09:54,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,10:13,10:15,2分钟,1,19分,33,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%D5%D8%C7%EC%B6%AB,肇庆东站,10:36,10:38,2分钟,1,42分,76,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BD%AD%BF%DA,南江口站,11:09,11:11,2分钟,1,1小时15分,176,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,11:33,11:36,3分钟,1,1小时39分,246,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%C4%CF%C4%CF,平南南站,12:03,12:05,2分钟,1,2小时9分,330,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,12:33,12:35,2分钟,1,2小时39分,423,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%F6%D1%F4,宾阳站,12:56,12:58,2分钟,1,3小时2分,563,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,13:24,13:29,5分钟,1,3小时30分,563,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,13:40,13:45,5分钟,1,3小时46分,574,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C2%A1%B0%B2%B6%AB,隆安东站,14:16,14:18,2分钟,1,4小时22分,657,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,15:03,15:08,5分钟,1,5小时9分,797,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,15:46,15:48,2分钟,1,5小时52分,917,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,16:12,16:15,3分钟,1,6小时18分,988,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%D6%E9%C1%D5,珠琳站,16:31,16:34,3分钟,1,6小时37分,1033,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%C3%D6%C0%D5,弥勒站,17:19,17:22,3分钟,1,7小时25分,1191,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,17:53,终点站,0分钟,1,7小时59分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,始发站,09:54,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,10:13,10:15,2分钟,1,19分,33,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%D5%D8%C7%EC%B6%AB,肇庆东站,10:36,10:38,2分钟,1,42分,76,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BD%AD%BF%DA,南江口站,11:09,11:11,2分钟,1,1小时15分,176,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,11:33,11:36,3分钟,1,1小时39分,246,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%C4%CF%C4%CF,平南南站,12:03,12:05,2分钟,1,2小时9分,330,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,12:33,12:35,2分钟,1,2小时39分,423,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%F6%D1%F4,宾阳站,12:56,12:58,2分钟,1,3小时2分,563,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,13:24,13:29,5分钟,1,3小时30分,563,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,13:40,13:45,5分钟,1,3小时46分,574,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C2%A1%B0%B2%B6%AB,隆安东站,14:16,14:18,2分钟,1,4小时22分,657,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,15:03,15:08,5分钟,1,5小时9分,797,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,15:46,15:48,2分钟,1,5小时52分,917,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,16:12,16:15,3分钟,1,6小时18分,988,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%D6%E9%C1%D5,珠琳站,16:31,16:34,3分钟,1,6小时37分,1033,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%C3%D6%C0%D5,弥勒站,17:19,17:22,3分钟,1,7小时25分,1191,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,17:53,终点站,0分钟,1,7小时59分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,始发站,11:00,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C3%D6%C0%D5,弥勒站,11:28,11:30,2分钟,1,28分,92,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,12:27,12:29,2分钟,1,1小时27分,295,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,13:24,13:29,5分钟,1,2小时24分,486,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C2%A1%B0%B2%B6%AB,隆安东站,14:11,14:13,2分钟,1,3小时11分,626,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,14:45,14:49,4分钟,1,3小时45分,709,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,15:00,15:03,3分钟,1,4小时0分,720,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%F6%D1%F4,宾阳站,15:28,15:30,2分钟,1,4小时28分,803,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,15:50,15:52,2分钟,1,4小时50分,860,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%C4%CF%C4%CF,平南南站,16:21,16:28,7分钟,1,5小时21分,953,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%CC%D9%CF%D8,藤县站,16:47,16:54,7分钟,1,5小时47分,1012,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,17:06,17:10,4分钟,1,6小时6分,1037,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%D5%D8%C7%EC%B6%AB,肇庆东站,17:59,18:01,2分钟,1,6小时59分,1207,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,18:22,18:26,4分钟,1,7小时22分,1250,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,18:46,终点站,0分钟,1,7小时46分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C3%F7%C4%CF,昆明南站,始发站,11:20,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%C1%D6%CE%F7,石林西站,11:38,11:40,2分钟,1,18分,49,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%D6%E9%C1%D5,珠琳站,12:35,12:38,3分钟,1,1小时15分,250,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,12:55,12:57,2分钟,1,1小时35分,295,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B8%BB%C4%FE,富宁站,13:19,13:21,2分钟,1,1小时59分,366,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,13:59,14:03,4分钟,1,2小时39分,486,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%D1%F4,田阳站,14:17,14:21,4分钟,1,2小时57分,517,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,14:47,14:51,4分钟,1,3小时27分,601,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C2%A1%B0%B2%B6%AB,隆安东站,15:01,15:03,2分钟,1,3小时41分,626,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,15:35,15:40,5分钟,1,4小时15分,709,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,15:51,15:55,4分钟,1,4小时31分,720,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,16:36,16:38,2分钟,1,5小时16分,860,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%C4%CF%C4%CF,平南南站,17:07,17:09,2分钟,1,5小时47分,953,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,17:36,17:39,3分钟,1,6小时16分,1037,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%D3%F4%C4%CF,郁南站,17:53,17:55,2分钟,1,6小时33分,1068,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%D4%C6%B8%A1%B6%AB,云浮东站,18:19,18:21,2分钟,1,6小时59分,1145,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%D5%D8%C7%EC%B6%AB,肇庆东站,18:41,18:43,2分钟,1,7小时21分,1207,/,//,"
/
"
18,http://shike.gaotie.cn/zhan.asp?zhan=%B7%F0%C9%BD%CE%F7,佛山西站,19:04,19:06,2分钟,1,7小时44分,1250,/,//,"
/
"
19,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,19:26,终点站,0分钟,1,8小时6分,1283,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%D6%DD%C4%CF,广州南站,始发站,10:36,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BD%AD%BF%DA,南江口站,11:39,11:41,2分钟,1,1小时3分,176,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%D3%F4%C4%CF,郁南站,11:55,11:57,2分钟,1,1小时19分,215,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E0%D6%DD%C4%CF,梧州南站,12:09,12:12,3分钟,1,1小时33分,246,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F0%C6%BD,桂平站,12:48,12:50,2分钟,1,2小时12分,365,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B9%F3%B8%DB,贵港站,13:09,13:11,2分钟,1,2小时33分,423,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE%B6%AB,南宁东站,13:54,14:02,8分钟,1,3小时18分,563,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%C4%FE,南宁站,14:13,14:17,4分钟,1,3小时37分,574,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C6%BD%B9%FB,平果站,14:54,14:58,4分钟,1,4小时18分,682,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EF%B6%AB%B1%B1,田东北站,15:18,15:22,4分钟,1,4小时42分,742,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B0%D9%C9%AB,百色站,15:44,15:48,4分钟,1,5小时8分,797,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%B9%E3%C4%CF%CF%D8,广南县站,16:44,16:47,3分钟,1,6小时8分,988,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C6%D5%D5%DF%BA%DA,普者黑站,17:15,17:19,4分钟,1,6小时39分,1080,/,//,"
/
"
